"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"20041917620","","18954686","","","2010-08-01 04:16:26 +0000","<a href=""http://mobile.twitter.com"" rel=""nofollow"">mobile web</a>","@Kytri my brother's friend just told him about this great tf2 comic she found on tvtropes called cuanta vida #internetfamous :D"
"20030987908","20029390080","67158328","","","2010-08-01 01:17:23 +0000","<a href=""http://mobile.twitter.com"" rel=""nofollow"">mobile web</a>","@SquidMan72 An mml toolkit for WHAT?!?!?!?!?! #whathassciencedone #youfoolyouvedoomedusall"
"19969058771","19968112023","67158328","","","2010-07-31 05:09:17 +0000","<a href=""http://mobile.twitter.com"" rel=""nofollow"">mobile web</a>","@SquidMan72 Grats kiddo. :)"
"19961062534","19960449614","7684302","","","2010-07-31 03:03:31 +0000","<a href=""http://mobile.twitter.com"" rel=""nofollow"">mobile web</a>","@howtogeek http://picasaweb.google.com/0xabad1dea/IRL#5138342539560166178 this is why :D #phonebookfortress"
"19934959134","19934642353","67158328","","","2010-07-30 19:49:20 +0000","<a href=""http://mobile.twitter.com"" rel=""nofollow"">mobile web</a>","@SquidMan72 Wut why"
"19874179984","","","","","2010-07-30 02:10:20 +0000","<a href=""http://mobile.twitter.com"" rel=""nofollow"">mobile web</a>","Some dude just told me i'm not allowed to mention that I am a girl on irc. Dude, look in the mirror and behold the source of the problem."
"19859940918","19857370779","13055232","","","2010-07-29 22:29:21 +0000","<a href=""http://mobile.twitter.com"" rel=""nofollow"">mobile web</a>","@digitalkitty where is ""actually go to college and stop pretending to be an engineer in pink sparkles"" Barbie? Aka Self Respect Barbie"
"19838359600","19829317290","717313","","","2010-07-29 16:27:39 +0000","<a href=""http://mobile.twitter.com"" rel=""nofollow"">mobile web</a>","@arstechnica I think that Kindle still often doesn't have the books i'm looking for, although it's getting closer."
"19735420791","19716096618","7684302","","","2010-07-28 12:07:40 +0000","<a href=""http://mobile.twitter.com"" rel=""nofollow"">mobile web</a>","@howtogeek When will the iPad bashing stop, I am a computer scientist and sleep with the thing, can we just accept it works for some&move on"
"19686771046","19686040920","5637652","","","2010-07-27 21:19:17 +0000","<a href=""http://mobile.twitter.com"" rel=""nofollow"">mobile web</a>","@codinghorror did you really just notice? dork 8)"
